,Ano,Sexo,Qde Benefícios Concedidos,Grupo CID,Grupo/Principais Espécies,CID-Índice,CID-Descrição
457,2008,M,1,Doenças do aparelho respiratório,Ap Invalidez,J92,Placas Pleurais
458,2008,M,5,Doenças do aparelho respiratório,Ap Invalidez,J93,Pneumotorax
459,2008,M,1,Doenças do aparelho respiratório,Ap Invalidez,J94,Outr Afeccoes Pleurais
460,2008,M,51,Doenças do aparelho respiratório,Ap Invalidez,J96,Insuf Respirat Ncop
461,2008,M,20,Doenças do aparelho respiratório,Ap Invalidez,J98,Outr Transt Respirat
1307,2008,M,215,Doenças do aparelho respiratório,Auxílio Doença,J01,Sinusite Aguda
1308,2008,M,19,Doenças do aparelho respiratório,Auxílio Doença,J02,Faringite Aguda
1309,2008,M,71,Doenças do aparelho respiratório,Auxílio Doença,J03,Amigdalite Aguda
1310,2008,M,47,Doenças do aparelho respiratório,Auxílio Doença,J04,Laringite e Traqueite Agudas
1311,2008,M,3,Doenças do aparelho respiratório,Auxílio Doença,J05,Laringite Obstrutiva Aguda e Epiglotite
1312,2008,M,118,Doenças do aparelho respiratório,Auxílio Doença,J06,Infecc Agudas Vias Aereas Super Loc Mult
1313,2008,M,14,Doenças do aparelho respiratório,Auxílio Doença,J10,Influenza Dev Virus Influenza Identificad
1314,2008,M,22,Doenças do aparelho respiratório,Auxílio Doença,J11,Influenza Dev Virus nao Identificado
1315,2008,M,64,Doenças do aparelho respiratório,Auxílio Doença,J12,Pneumonia Viral Ncop
1316,2008,M,34,Doenças do aparelho respiratório,Auxílio Doença,J13,Pneumonia Dev Streptococcus Pneumoniae
1317,2008,M,4,Doenças do aparelho respiratório,Auxílio Doença,J14,Pneumonia Dev Haemophilus Infuenzae
1318,2008,M,1603,Doenças do aparelho respiratório,Auxílio Doença,J15,Pneumonia Bacter Ncop
1319,2008,M,98,Doenças do aparelho respiratório,Auxílio Doença,J16,Pneumonia Dev Out Microorg Infecc Espec N
1320,2008,M,1533,Doenças do aparelho respiratório,Auxílio Doença,J18,Pneumonia p/Microorg Ne
1321,2008,M,115,Doenças do aparelho respiratório,Auxílio Doença,J20,Bronquite Aguda
1322,2008,M,15,Doenças do aparelho respiratório,Auxílio Doença,J21,Bronquiolite Aguda
1323,2008,M,72,Doenças do aparelho respiratório,Auxílio Doença,J22,Infecc Agudas Ne das Vias Aereas Infer
1324,2008,M,66,Doenças do aparelho respiratório,Auxílio Doença,J30,Rinite Alergica e Vasomotora
1325,2008,M,38,Doenças do aparelho respiratório,Auxílio Doença,J31,Rinite Nasofaringite e Faringite Cronicas
1326,2008,M,219,Doenças do aparelho respiratório,Auxílio Doença,J32,Sinusite Cronica
1327,2008,M,102,Doenças do aparelho respiratório,Auxílio Doença,J33,Polipo Nasal
1328,2008,M,727,Doenças do aparelho respiratório,Auxílio Doença,J34,Outr Transt do Nariz e dos Seios Paranasa
1329,2008,M,180,Doenças do aparelho respiratório,Auxílio Doença,J35,Doenc Cronicas das Amigdalas e das Adenoi
1330,2008,M,30,Doenças do aparelho respiratório,Auxílio Doença,J36,Abscesso Periamigdaliano
1331,2008,M,55,Doenças do aparelho respiratório,Auxílio Doença,J37,Laringite e Laringotraqueite Cronicas
1332,2008,M,219,Doenças do aparelho respiratório,Auxílio Doença,J38,Doenc das Cordas Vocais e da Laringe Ncop
1333,2008,M,81,Doenças do aparelho respiratório,Auxílio Doença,J39,Outr Doenc das Vias Aereas Super
1334,2008,M,107,Doenças do aparelho respiratório,Auxílio Doença,J40,Bronquite Ne Como Aguda ou Cronica
1335,2008,M,73,Doenças do aparelho respiratório,Auxílio Doença,J41,Bronquite Cronica Simples e a Mucopurulen
1336,2008,M,190,Doenças do aparelho respiratório,Auxílio Doença,J42,Bronquite Cronica Ne
1337,2008,M,576,Doenças do aparelho respiratório,Auxílio Doença,J43,Enfisema
1338,2008,M,1544,Doenças do aparelho respiratório,Auxílio Doença,J44,Outr Doenc Pulmonares Obstrutivas Cronica
1339,2008,M,1184,Doenças do aparelho respiratório,Auxílio Doença,J45,Asma
1340,2008,M,29,Doenças do aparelho respiratório,Auxílio Doença,J46,Estado de Mal Asmatico
1341,2008,M,211,Doenças do aparelho respiratório,Auxílio Doença,J47,Bronquectasia
1342,2008,M,3,Doenças do aparelho respiratório,Auxílio Doença,J61,Pneumoconiose Dev Amianto Outr Fibr Miner
1343,2008,M,32,Doenças do aparelho respiratório,Auxílio Doença,J62,Pneumoconiose Dev Poeira Que Cont Silica
1344,2008,M,19,Doenças do aparelho respiratório,Auxílio Doença,J63,Pneumoconiose Dev Outr Poeiras Inorganica
1345,2008,M,30,Doenças do aparelho respiratório,Auxílio Doença,J64,Pneumoconiose Ne
1346,2008,M,6,Doenças do aparelho respiratório,Auxílio Doença,J65,Pneumoconiose Assoc c/Tuberc
1347,2008,M,1,Doenças do aparelho respiratório,Auxílio Doença,J66,Doenc das Vias Aereas Dev Poeiras Org Esp
1348,2008,M,13,Doenças do aparelho respiratório,Auxílio Doença,J67,Pneumonite Hipersensibilid Dev Poeiras Or
1349,2008,M,17,Doenças do aparelho respiratório,Auxílio Doença,J68,Afecc Resp Dev Inal Prod Quim Gas Fumac V
1350,2008,M,12,Doenças do aparelho respiratório,Auxílio Doença,J69,Pneumonite Dev Solidos e Liquidos
1351,2008,M,14,Doenças do aparelho respiratório,Auxílio Doença,J70,Afeccoes Respirat Dev Outr Agentes Extern
1352,2008,M,16,Doenças do aparelho respiratório,Auxílio Doença,J80,Sindr do Desconforto Respirat do Adulto
1353,2008,M,26,Doenças do aparelho respiratório,Auxílio Doença,J81,Edema Pulmonar Ne de Outr Form
1354,2008,M,3,Doenças do aparelho respiratório,Auxílio Doença,J82,Eosinofilia Pulmonar Ncop
1355,2008,M,177,Doenças do aparelho respiratório,Auxílio Doença,J84,Outr Doenc Pulmonares Intersticiais
1356,2008,M,133,Doenças do aparelho respiratório,Auxílio Doença,J85,Abscesso do Pulmao e do Mediastino
1357,2008,M,99,Doenças do aparelho respiratório,Auxílio Doença,J86,Piotorax
1358,2008,M,455,Doenças do aparelho respiratório,Auxílio Doença,J90,Derrame Pleural Ncop
1359,2008,M,6,Doenças do aparelho respiratório,Auxílio Doença,J92,Placas Pleurais
1360,2008,M,546,Doenças do aparelho respiratório,Auxílio Doença,J93,Pneumotorax
1361,2008,M,137,Doenças do aparelho respiratório,Auxílio Doença,J94,Outr Afeccoes Pleurais
1362,2008,M,139,Doenças do aparelho respiratório,Auxílio Doença,J96,Insuf Respirat Ncop
1363,2008,M,181,Doenças do aparelho respiratório,Auxílio Doença,J98,Outr Transt Respirat
2054,2008,M,1,Doenças do aparelho respiratório,Auxílio Doença Acidentário,J04,Laringite e Traqueite Agudas
2055,2008,M,1,Doenças do aparelho respiratório,Auxílio Doença Acidentário,J06,Infecc Agudas Vias Aereas Super Loc Mult
2056,2008,M,1,Doenças do aparelho respiratório,Auxílio Doença Acidentário,J12,Pneumonia Viral Ncop
2057,2008,M,9,Doenças do aparelho respiratório,Auxílio Doença Acidentário,J15,Pneumonia Bacter Ncop
2058,2008,M,10,Doenças do aparelho respiratório,Auxílio Doença Acidentário,J18,Pneumonia p/Microorg Ne
2059,2008,M,2,Doenças do aparelho respiratório,Auxílio Doença Acidentário,J20,Bronquite Aguda
2060,2008,M,7,Doenças do aparelho respiratório,Auxílio Doença Acidentário,J30,Rinite Alergica e Vasomotora
2061,2008,M,8,Doenças do aparelho respiratório,Auxílio Doença Acidentário,J31,Rinite Nasofaringite e Faringite Cronicas
2062,2008,M,17,Doenças do aparelho respiratório,Auxílio Doença Acidentário,J32,Sinusite Cronica
2063,2008,M,2,Doenças do aparelho respiratório,Auxílio Doença Acidentário,J34,Outr Transt do Nariz e dos Seios Paranasa
2064,2008,M,5,Doenças do aparelho respiratório,Auxílio Doença Acidentário,J37,Laringite e Laringotraqueite Cronicas
2065,2008,M,17,Doenças do aparelho respiratório,Auxílio Doença Acidentário,J38,Doenc das Cordas Vocais e da Laringe Ncop
2066,2008,M,8,Doenças do aparelho respiratório,Auxílio Doença Acidentário,J40,Bronquite Ne Como Aguda ou Cronica
2067,2008,M,4,Doenças do aparelho respiratório,Auxílio Doença Acidentário,J41,Bronquite Cronica Simples e a Mucopurulen
2068,2008,M,5,Doenças do aparelho respiratório,Auxílio Doença Acidentário,J42,Bronquite Cronica Ne
2069,2008,M,14,Doenças do aparelho respiratório,Auxílio Doença Acidentário,J43,Enfisema
2070,2008,M,179,Doenças do aparelho respiratório,Auxílio Doença Acidentário,J44,Outr Doenc Pulmonares Obstrutivas Cronica
2071,2008,M,378,Doenças do aparelho respiratório,Auxílio Doença Acidentário,J45,Asma
2072,2008,M,3,Doenças do aparelho respiratório,Auxílio Doença Acidentário,J46,Estado de Mal Asmatico
2073,2008,M,4,Doenças do aparelho respiratório,Auxílio Doença Acidentário,J47,Bronquectasia
2074,2008,M,1,Doenças do aparelho respiratório,Auxílio Doença Acidentário,J60,Pneumoconiose dos Mineiros de Carvao
2075,2008,M,1,Doenças do aparelho respiratório,Auxílio Doença Acidentário,J61,Pneumoconiose Dev Amianto Outr Fibr Miner
2076,2008,M,66,Doenças do aparelho respiratório,Auxílio Doença Acidentário,J62,Pneumoconiose Dev Poeira Que Cont Silica
2077,2008,M,14,Doenças do aparelho respiratório,Auxílio Doença Acidentário,J63,Pneumoconiose Dev Outr Poeiras Inorganica
2078,2008,M,8,Doenças do aparelho respiratório,Auxílio Doença Acidentário,J64,Pneumoconiose Ne
2079,2008,M,3,Doenças do aparelho respiratório,Auxílio Doença Acidentário,J65,Pneumoconiose Assoc c/Tuberc
2080,2008,M,6,Doenças do aparelho respiratório,Auxílio Doença Acidentário,J66,Doenc das Vias Aereas Dev Poeiras Org Esp
2081,2008,M,12,Doenças do aparelho respiratório,Auxílio Doença Acidentário,J67,Pneumonite Hipersensibilid Dev Poeiras Or
2082,2008,M,23,Doenças do aparelho respiratório,Auxílio Doença Acidentário,J68,Afecc Resp Dev Inal Prod Quim Gas Fumac V
2083,2008,M,3,Doenças do aparelho respiratório,Auxílio Doença Acidentário,J70,Afeccoes Respirat Dev Outr Agentes Extern
2084,2008,M,1,Doenças do aparelho respiratório,Auxílio Doença Acidentário,J82,Eosinofilia Pulmonar Ncop
2085,2008,M,3,Doenças do aparelho respiratório,Auxílio Doença Acidentário,J84,Outr Doenc Pulmonares Intersticiais
2086,2008,M,3,Doenças do aparelho respiratório,Auxílio Doença Acidentário,J85,Abscesso do Pulmao e do Mediastino
2087,2008,M,2,Doenças do aparelho respiratório,Auxílio Doença Acidentário,J86,Piotorax
2088,2008,M,26,Doenças do aparelho respiratório,Auxílio Doença Acidentário,J90,Derrame Pleural Ncop
2089,2008,M,27,Doenças do aparelho respiratório,Auxílio Doença Acidentário,J93,Pneumotorax
2090,2008,M,29,Doenças do aparelho respiratório,Auxílio Doença Acidentário,J94,Outr Afeccoes Pleurais
2091,2008,M,3,Doenças do aparelho respiratório,Auxílio Doença Acidentário,J96,Insuf Respirat Ncop
2092,2008,M,3,Doenças do aparelho respiratório,Auxílio Doença Acidentário,J98,Outr Transt Respirat
2545,2008,M,1,Doenças do aparelho respiratório,Aposentadorias Acidentárias,J06,Infecc Agudas Vias Aereas Super Loc Mult
2546,2008,M,1,Doenças do aparelho respiratório,Aposentadorias Acidentárias,J32,Sinusite Cronica
2547,2008,M,1,Doenças do aparelho respiratório,Aposentadorias Acidentárias,J38,Doenc das Cordas Vocais e da Laringe Ncop
2548,2008,M,1,Doenças do aparelho respiratório,Aposentadorias Acidentárias,J41,Bronquite Cronica Simples e a Mucopurulen
2549,2008,M,3,Doenças do aparelho respiratório,Aposentadorias Acidentárias,J43,Enfisema
2550,2008,M,38,Doenças do aparelho respiratório,Aposentadorias Acidentárias,J44,Outr Doenc Pulmonares Obstrutivas Cronica
2551,2008,M,23,Doenças do aparelho respiratório,Aposentadorias Acidentárias,J45,Asma
2552,2008,M,1,Doenças do aparelho respiratório,Aposentadorias Acidentárias,J60,Pneumoconiose dos Mineiros de Carvao
2553,2008,M,1,Doenças do aparelho respiratório,Aposentadorias Acidentárias,J61,Pneumoconiose Dev Amianto Outr Fibr Miner
2554,2008,M,28,Doenças do aparelho respiratório,Aposentadorias Acidentárias,J62,Pneumoconiose Dev Poeira Que Cont Silica
2555,2008,M,5,Doenças do aparelho respiratório,Aposentadorias Acidentárias,J63,Pneumoconiose Dev Outr Poeiras Inorganica
2556,2008,M,2,Doenças do aparelho respiratório,Aposentadorias Acidentárias,J64,Pneumoconiose Ne
2557,2008,M,1,Doenças do aparelho respiratório,Aposentadorias Acidentárias,J68,Afecc Resp Dev Inal Prod Quim Gas Fumac V
2558,2008,M,2,Doenças do aparelho respiratório,Aposentadorias Acidentárias,J70,Afeccoes Respirat Dev Outr Agentes Extern
2559,2008,M,1,Doenças do aparelho respiratório,Aposentadorias Acidentárias,J84,Outr Doenc Pulmonares Intersticiais
2560,2008,M,1,Doenças do aparelho respiratório,Aposentadorias Acidentárias,J90,Derrame Pleural Ncop
2561,2008,M,1,Doenças do aparelho respiratório,Aposentadorias Acidentárias,J92,Placas Pleurais
2562,2008,M,1,Doenças do aparelho respiratório,Aposentadorias Acidentárias,J96,Insuf Respirat Ncop
3035,2008,M,1,Doenças do aparelho respiratório,Ap Invalidez,J06,Infecc Agudas Vias Aereas Super Loc Mult
3036,2008,M,2,Doenças do aparelho respiratório,Ap Invalidez,J15,Pneumonia Bacter Ncop
3037,2008,M,1,Doenças do aparelho respiratório,Ap Invalidez,J18,Pneumonia p/Microorg Ne
3038,2008,M,1,Doenças do aparelho respiratório,Ap Invalidez,J37,Laringite e Laringotraqueite Cronicas
3039,2008,M,1,Doenças do aparelho respiratório,Ap Invalidez,J40,Bronquite Ne Como Aguda ou Cronica
3040,2008,M,3,Doenças do aparelho respiratório,Ap Invalidez,J41,Bronquite Cronica Simples e a Mucopurulen
3041,2008,M,6,Doenças do aparelho respiratório,Ap Invalidez,J42,Bronquite Cronica Ne
3042,2008,M,46,Doenças do aparelho respiratório,Ap Invalidez,J43,Enfisema
3043,2008,M,151,Doenças do aparelho respiratório,Ap Invalidez,J44,Outr Doenc Pulmonares Obstrutivas Cronica
3044,2008,M,27,Doenças do aparelho respiratório,Ap Invalidez,J45,Asma
3045,2008,M,2,Doenças do aparelho respiratório,Ap Invalidez,J46,Estado de Mal Asmatico
3046,2008,M,11,Doenças do aparelho respiratório,Ap Invalidez,J47,Bronquectasia
3047,2008,M,7,Doenças do aparelho respiratório,Ap Invalidez,J62,Pneumoconiose Dev Poeira Que Cont Silica
3048,2008,M,1,Doenças do aparelho respiratório,Ap Invalidez,J66,Doenc das Vias Aereas Dev Poeiras Org Esp
3049,2008,M,2,Doenças do aparelho respiratório,Ap Invalidez,J67,Pneumonite Hipersensibilid Dev Poeiras Or
3050,2008,M,5,Doenças do aparelho respiratório,Ap Invalidez,J84,Outr Doenc Pulmonares Intersticiais
3051,2008,M,3,Doenças do aparelho respiratório,Ap Invalidez,J85,Abscesso do Pulmao e do Mediastino
3052,2008,M,1,Doenças do aparelho respiratório,Ap Invalidez,J86,Piotorax
3053,2008,M,1,Doenças do aparelho respiratório,Ap Invalidez,J93,Pneumotorax
3054,2008,M,13,Doenças do aparelho respiratório,Ap Invalidez,J96,Insuf Respirat Ncop
3055,2008,M,3,Doenças do aparelho respiratório,Ap Invalidez,J98,Outr Transt Respirat
3711,2008,M,16,Doenças do aparelho respiratório,Auxílio Doença,J01,Sinusite Aguda
3712,2008,M,5,Doenças do aparelho respiratório,Auxílio Doença,J03,Amigdalite Aguda
3713,2008,M,4,Doenças do aparelho respiratório,Auxílio Doença,J04,Laringite e Traqueite Agudas
3714,2008,M,9,Doenças do aparelho respiratório,Auxílio Doença,J06,Infecc Agudas Vias Aereas Super Loc Mult
3715,2008,M,1,Doenças do aparelho respiratório,Auxílio Doença,J10,Influenza Dev Virus Influenza Identificad
3716,2008,M,2,Doenças do aparelho respiratório,Auxílio Doença,J11,Influenza Dev Virus nao Identificado
3717,2008,M,5,Doenças do aparelho respiratório,Auxílio Doença,J12,Pneumonia Viral Ncop
3718,2008,M,123,Doenças do aparelho respiratório,Auxílio Doença,J15,Pneumonia Bacter Ncop
3719,2008,M,5,Doenças do aparelho respiratório,Auxílio Doença,J16,Pneumonia Dev Out Microorg Infecc Espec N
3720,2008,M,118,Doenças do aparelho respiratório,Auxílio Doença,J18,Pneumonia p/Microorg Ne
3721,2008,M,10,Doenças do aparelho respiratório,Auxílio Doença,J20,Bronquite Aguda
3722,2008,M,3,Doenças do aparelho respiratório,Auxílio Doença,J21,Bronquiolite Aguda
3723,2008,M,4,Doenças do aparelho respiratório,Auxílio Doença,J22,Infecc Agudas Ne das Vias Aereas Infer
3724,2008,M,3,Doenças do aparelho respiratório,Auxílio Doença,J30,Rinite Alergica e Vasomotora
3725,2008,M,7,Doenças do aparelho respiratório,Auxílio Doença,J31,Rinite Nasofaringite e Faringite Cronicas
3726,2008,M,28,Doenças do aparelho respiratório,Auxílio Doença,J32,Sinusite Cronica
3727,2008,M,40,Doenças do aparelho respiratório,Auxílio Doença,J33,Polipo Nasal
3728,2008,M,145,Doenças do aparelho respiratório,Auxílio Doença,J34,Outr Transt do Nariz e dos Seios Paranasa
3729,2008,M,38,Doenças do aparelho respiratório,Auxílio Doença,J35,Doenc Cronicas das Amigdalas e das Adenoi
3730,2008,M,3,Doenças do aparelho respiratório,Auxílio Doença,J36,Abscesso Periamigdaliano
3731,2008,M,4,Doenças do aparelho respiratório,Auxílio Doença,J37,Laringite e Laringotraqueite Cronicas
3732,2008,M,25,Doenças do aparelho respiratório,Auxílio Doença,J38,Doenc das Cordas Vocais e da Laringe Ncop
3733,2008,M,11,Doenças do aparelho respiratório,Auxílio Doença,J39,Outr Doenc das Vias Aereas Super
3734,2008,M,12,Doenças do aparelho respiratório,Auxílio Doença,J40,Bronquite Ne Como Aguda ou Cronica
3735,2008,M,21,Doenças do aparelho respiratório,Auxílio Doença,J41,Bronquite Cronica Simples e a Mucopurulen
3736,2008,M,29,Doenças do aparelho respiratório,Auxílio Doença,J42,Bronquite Cronica Ne
3737,2008,M,122,Doenças do aparelho respiratório,Auxílio Doença,J43,Enfisema
3738,2008,M,346,Doenças do aparelho respiratório,Auxílio Doença,J44,Outr Doenc Pulmonares Obstrutivas Cronica
3739,2008,M,216,Doenças do aparelho respiratório,Auxílio Doença,J45,Asma
3740,2008,M,8,Doenças do aparelho respiratório,Auxílio Doença,J46,Estado de Mal Asmatico
3741,2008,M,48,Doenças do aparelho respiratório,Auxílio Doença,J47,Bronquectasia
3742,2008,M,1,Doenças do aparelho respiratório,Auxílio Doença,J60,Pneumoconiose dos Mineiros de Carvao
3743,2008,M,17,Doenças do aparelho respiratório,Auxílio Doença,J62,Pneumoconiose Dev Poeira Que Cont Silica
3744,2008,M,2,Doenças do aparelho respiratório,Auxílio Doença,J63,Pneumoconiose Dev Outr Poeiras Inorganica
3745,2008,M,1,Doenças do aparelho respiratório,Auxílio Doença,J64,Pneumoconiose Ne
3746,2008,M,1,Doenças do aparelho respiratório,Auxílio Doença,J65,Pneumoconiose Assoc c/Tuberc
3747,2008,M,2,Doenças do aparelho respiratório,Auxílio Doença,J66,Doenc das Vias Aereas Dev Poeiras Org Esp
3748,2008,M,4,Doenças do aparelho respiratório,Auxílio Doença,J67,Pneumonite Hipersensibilid Dev Poeiras Or
3749,2008,M,1,Doenças do aparelho respiratório,Auxílio Doença,J68,Afecc Resp Dev Inal Prod Quim Gas Fumac V
3750,2008,M,1,Doenças do aparelho respiratório,Auxílio Doença,J69,Pneumonite Dev Solidos e Liquidos
3751,2008,M,3,Doenças do aparelho respiratório,Auxílio Doença,J70,Afeccoes Respirat Dev Outr Agentes Extern
3752,2008,M,1,Doenças do aparelho respiratório,Auxílio Doença,J80,Sindr do Desconforto Respirat do Adulto
3753,2008,M,34,Doenças do aparelho respiratório,Auxílio Doença,J84,Outr Doenc Pulmonares Intersticiais
3754,2008,M,21,Doenças do aparelho respiratório,Auxílio Doença,J85,Abscesso do Pulmao e do Mediastino
3755,2008,M,20,Doenças do aparelho respiratório,Auxílio Doença,J86,Piotorax
3756,2008,M,42,Doenças do aparelho respiratório,Auxílio Doença,J90,Derrame Pleural Ncop
3757,2008,M,44,Doenças do aparelho respiratório,Auxílio Doença,J93,Pneumotorax
3758,2008,M,22,Doenças do aparelho respiratório,Auxílio Doença,J94,Outr Afeccoes Pleurais
3759,2008,M,17,Doenças do aparelho respiratório,Auxílio Doença,J96,Insuf Respirat Ncop
3760,2008,M,17,Doenças do aparelho respiratório,Auxílio Doença,J98,Outr Transt Respirat
4238,2008,M,2,Doenças do aparelho respiratório,Auxílio Doença Acidentário,J32,Sinusite Cronica
4239,2008,M,1,Doenças do aparelho respiratório,Auxílio Doença Acidentário,J34,Outr Transt do Nariz e dos Seios Paranasa
4240,2008,M,1,Doenças do aparelho respiratório,Auxílio Doença Acidentário,J39,Outr Doenc das Vias Aereas Super
4241,2008,M,2,Doenças do aparelho respiratório,Auxílio Doença Acidentário,J43,Enfisema
4242,2008,M,23,Doenças do aparelho respiratório,Auxílio Doença Acidentário,J44,Outr Doenc Pulmonares Obstrutivas Cronica
4243,2008,M,44,Doenças do aparelho respiratório,Auxílio Doença Acidentário,J45,Asma
4244,2008,M,12,Doenças do aparelho respiratório,Auxílio Doença Acidentário,J62,Pneumoconiose Dev Poeira Que Cont Silica
4245,2008,M,1,Doenças do aparelho respiratório,Auxílio Doença Acidentário,J65,Pneumoconiose Assoc c/Tuberc
4246,2008,M,2,Doenças do aparelho respiratório,Auxílio Doença Acidentário,J67,Pneumonite Hipersensibilid Dev Poeiras Or
4247,2008,M,1,Doenças do aparelho respiratório,Auxílio Doença Acidentário,J70,Afeccoes Respirat Dev Outr Agentes Extern
4248,2008,M,4,Doenças do aparelho respiratório,Auxílio Doença Acidentário,J90,Derrame Pleural Ncop
4249,2008,M,3,Doenças do aparelho respiratório,Auxílio Doença Acidentário,J93,Pneumotorax
4250,2008,M,1,Doenças do aparelho respiratório,Auxílio Doença Acidentário,J94,Outr Afeccoes Pleurais
4476,2008,M,1,Doenças do aparelho respiratório,Aposentadorias Acidentárias,J43,Enfisema
4477,2008,M,3,Doenças do aparelho respiratório,Aposentadorias Acidentárias,J44,Outr Doenc Pulmonares Obstrutivas Cronica
4478,2008,M,1,Doenças do aparelho respiratório,Aposentadorias Acidentárias,J45,Asma
4479,2008,M,1,Doenças do aparelho respiratório,Aposentadorias Acidentárias,J62,Pneumoconiose Dev Poeira Que Cont Silica
4480,2008,M,1,Doenças do aparelho respiratório,Aposentadorias Acidentárias,J67,Pneumonite Hipersensibilid Dev Poeiras Or
4931,2008,F,1,Doenças do aparelho respiratório,Ap Invalidez,J06,Infecc Agudas Vias Aereas Super Loc Mult
4932,2008,F,1,Doenças do aparelho respiratório,Ap Invalidez,J11,Influenza Dev Virus nao Identificado
4933,2008,F,2,Doenças do aparelho respiratório,Ap Invalidez,J15,Pneumonia Bacter Ncop
4934,2008,F,6,Doenças do aparelho respiratório,Ap Invalidez,J18,Pneumonia p/Microorg Ne
4935,2008,F,5,Doenças do aparelho respiratório,Ap Invalidez,J20,Bronquite Aguda
4936,2008,F,1,Doenças do aparelho respiratório,Ap Invalidez,J21,Bronquiolite Aguda
4937,2008,F,1,Doenças do aparelho respiratório,Ap Invalidez,J30,Rinite Alergica e Vasomotora
4938,2008,F,1,Doenças do aparelho respiratório,Ap Invalidez,J32,Sinusite Cronica
4939,2008,F,4,Doenças do aparelho respiratório,Ap Invalidez,J37,Laringite e Laringotraqueite Cronicas
4940,2008,F,22,Doenças do aparelho respiratório,Ap Invalidez,J38,Doenc das Cordas Vocais e da Laringe Ncop
4941,2008,F,6,Doenças do aparelho respiratório,Ap Invalidez,J39,Outr Doenc das Vias Aereas Super
