 Óbitos por causas evitáveis de 5 a 74 anos - Brasil
Óbitos p/Ocorrênc por Ano/mês do Óbito e Sexo
Capítulo CID-10: X.   Doenças do aparelho respiratório
Período:2008-2017
"Ano/mês do Óbito";"Masc";"Fem";"Ign";"Total"
"..Março/2017";2805;1972;-;4777
"..Abril/2017";2803;1960;-;4763
"..Maio/2017";3150;2326;-;5476
"..Junho/2017";3144;2249;-;5393
"..Julho/2017";3495;2433;-;5928
"..Agosto/2017";3064;2289;-;5353
"..Setembro/2017";2914;2089;1;5004
"..Outubro/2017";2797;2109;-;4906
"..Novembro/2017";2587;1837;1;4425
"..Dezembro/2017";2666;1946;2;4614
"Total";322363;223564;70;545997
 Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 
