 Óbitos por causas evitáveis de 5 a 74 anos - Brasil
Óbitos p/Ocorrênc por Ano/mês do Óbito e Faixa Etária
Capítulo CID-10: X.   Doenças do aparelho respiratório
Período:2008-2017
"Ano/mês do Óbito";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 29 anos";"30 a 39 anos";"40 a 49 anos";"50 a 59 anos";"60 a 69 anos";"70 a 74 anos";"Total"
"..Abril/2010";33;28;49;127;217;421;752;1246;1001;3874
"..Maio/2010";30;23;40;160;235;471;839;1397;1109;4304
"..Junho/2010";36;31;49;148;231;470;835;1442;1232;4474
"..Julho/2010";32;27;56;135;241;461;929;1615;1221;4717
"..Agosto/2010";26;28;53;149;234;470;920;1544;1288;4712
"..Setembro/2010";25;29;37;124;221;413;790;1485;1202;4326
"..Outubro/2010";34;27;44;133;208;405;854;1447;1154;4306
"..Novembro/2010";25;26;43;107;215;378;807;1317;1055;3973
"..Dezembro/2010";15;29;46;146;243;457;819;1506;1200;4461
"2011";367;359;555;1564;2658;5130;10343;17730;13845;52551
"..Janeiro/2011";21;35;54;133;242;471;916;1503;1265;4640
"..Fevereiro/2011";21;29;47;115;232;395;740;1282;1106;3967
"..Março/2011";28;34;44;135;226;417;822;1397;1098;4201
"..Abril/2011";36;19;35;145;223;393;792;1374;1121;4138
"..Maio/2011";37;28;68;126;227;432;914;1549;1162;4543
"..Junho/2011";36;30;38;151;223;490;947;1668;1290;4873
"..Julho/2011";53;34;50;122;244;471;977;1833;1382;5166
"..Agosto/2011";29;30;50;126;231;419;898;1611;1240;4634
"..Setembro/2011";29;25;41;145;191;422;881;1449;1151;4334
"..Outubro/2011";33;32;46;132;185;446;843;1375;1075;4167
"..Novembro/2011";20;31;41;124;211;370;794;1335;969;3895
"..Dezembro/2011";24;32;41;110;223;404;819;1354;986;3993
"2012";317;346;564;1610;2826;5161;10378;17853;13612;52667
"..Janeiro/2012";24;31;40;119;199;412;769;1338;1023;3955
"..Fevereiro/2012";18;19;49;128;204;375;747;1240;924;3704
"..Março/2012";23;41;46;150;224;416;762;1293;1007;3962
"..Abril/2012";24;24;39;109;213;387;732;1322;1000;3850
"..Maio/2012";31;37;45;134;247;461;869;1583;1195;4602
"..Junho/2012";36;28;67;152;306;482;1009;1653;1290;5023
"..Julho/2012";39;38;57;168;256;569;1191;1858;1427;5603
"..Agosto/2012";19;28;44;136;249;385;972;1720;1247;4800
"..Setembro/2012";24;30;34;135;200;449;851;1574;1127;4424
"..Outubro/2012";32;26;50;139;264;424;885;1563;1179;4562
"..Novembro/2012";20;23;44;122;220;387;756;1352;1098;4022
"..Dezembro/2012";27;21;49;118;244;414;835;1357;1095;4160
"2013";341;337;626;1628;2964;5748;11233;19441;14475;56793
"..Janeiro/2013";19;26;53;115;227;392;840;1397;1038;4107
"..Fevereiro/2013";25;22;53;123;233;388;731;1303;924;3802
"..Março/2013";32;27;51;128;200;442;818;1438;1043;4179
"..Abril/2013";37;32;57;149;292;539;936;1542;1198;4782
"..Maio/2013";32;23;57;183;305;612;1119;1843;1328;5502
"..Junho/2013";50;44;51;145;293;587;1112;1808;1355;5445
"..Julho/2013";27;33;70;164;289;618;1231;1967;1557;5956
"..Agosto/2013";32;38;52;139;247;514;1034;1895;1411;5362
"..Setembro/2013";33;28;41;108;239;478;984;1733;1307;4951
"..Outubro/2013";21;22;50;130;214;394;845;1561;1172;4409
"..Novembro/2013";17;24;37;133;203;360;766;1420;1041;4001
"..Dezembro/2013";16;18;54;111;222;424;817;1534;1101;4297
"2014";300;306;562;1586;2709;5080;11044;19240;14359;55186
"..Janeiro/2014";22;36;37;131;237;381;872;1516;1125;4357
"..Fevereiro/2014";17;15;42;124;189;399;785;1392;1039;4002
"..Março/2014";27;25;57;128;255;391;874;1469;1056;4282
"..Abril/2014";28;20;47;146;243;448;809;1437;1064;4242
"..Maio/2014";26;29;47;152;228;480;964;1707;1188;4821
"..Junho/2014";40;38;51;149;271;455;977;1817;1362;5160
"..Julho/2014";29;29;49;118;220;435;985;1782;1357;5004
"..Agosto/2014";24;21;48;130;231;456;1022;1805;1388;5125
"..Setembro/2014";19;23;49;137;226;409;895;1695;1282;4735
"..Outubro/2014";20;22;49;137;192;455;1043;1668;1287;4873
"..Novembro/2014";19;22;45;106;188;369;915;1442;1127;4233
"..Dezembro/2014";29;26;41;128;229;402;903;1510;1084;4352
"2015";265;264;551;1595;2710;5175;11222;20926;15263;57971
"..Janeiro/2015";25;28;48;138;224;456;878;1632;1177;4606
"..Fevereiro/2015";23;14;35;113;183;345;739;1346;939;3737
"..Março/2015";20;27;47;124;219;439;894;1590;1123;4483
"..Abril/2015";31;26;43;123;226;419;946;1773;1225;4812
"..Maio/2015";35;29;53;169;243;483;1080;2026;1471;5589
"..Junho/2015";25;31;57;130;226;467;1050;2061;1552;5599
"..Julho/2015";22;20;47;147;280;462;1059;2043;1582;5662
"..Agosto/2015";18;14;43;134;260;417;935;1827;1366;5014
"..Setembro/2015";13;21;39;135;202;403;928;1677;1214;4632
"..Outubro/2015";15;14;48;111;215;404;949;1683;1250;4689
"..Novembro/2015";21;11;42;139;217;437;826;1527;1092;4312
"..Dezembro/2015";17;29;49;132;215;443;938;1741;1272;4836
"2016";308;339;592;1622;3060;5959;12923;23044;16166;64013
"..Janeiro/2016";13;24;47;135;226;443;939;1656;1189;4672
"..Fevereiro/2016";26;27;58;134;252;453;886;1548;1141;4525
"..Março/2016";34;40;56;154;285;588;1107;1974;1359;5597
"..Abril/2016";31;44;60;175;370;672;1446;2276;1493;6567
"..Maio/2016";39;34;66;174;295;660;1427;2290;1536;6521
"..Junho/2016";30;33;51;138;265;595;1349;2255;1563;6279
"..Julho/2016";37;35;49;124;268;527;1238;2280;1624;6182
"..Agosto/2016";25;27;49;135;222;431;1002;1971;1508;5370
"..Setembro/2016";20;22;41;112;219;392;912;1807;1231;4756
"..Outubro/2016";17;18;38;112;217;395;902;1702;1237;4638
"..Novembro/2016";15;16;41;109;215;383;844;1624;1104;4351
"..Dezembro/2016";21;19;36;120;226;420;871;1661;1181;4555
"2017";275;265;543;1412;2636;4732;10858;22105;16159;58985
"..Janeiro/2017";29;13;37;121;229;370;821;1594;1098;4312
"..Fevereiro/2017";33;18;38;110;212;351;735;1479;1058;4034
"..Março/2017";28;25;48;123;228;382;912;1738;1293;4777
"..Abril/2017";26;23;62;113;195;399;866;1769;1310;4763
"..Maio/2017";17;34;61;122;261;454;1005;1992;1530;5476
"..Junho/2017";21;24;52;107;223;414;988;2097;1467;5393
"..Julho/2017";18;29;42;134;253;448;1056;2279;1669;5928
"..Agosto/2017";24;24;45;134;203;421;1003;1986;1513;5353
"..Setembro/2017";23;26;40;102;221;389;966;1862;1375;5004
"..Outubro/2017";23;21;31;133;223;367;844;1883;1381;4906
"..Novembro/2017";19;16;41;109;181;331;814;1693;1221;4425
"..Dezembro/2017";14;12;46;104;207;406;848;1733;1244;4614
"Total";3305;3287;5648;16434;27899;52869;106522;188035;141998;545997
 Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 
